date,symbol,news_count,avg_sentiment
2023-06-15,EURUSD,10,0.351220
2023-06-15,GBPUSD,3,-0.287333
2023-06-15,USDJPY,14,0.234879
2023-06-15,AUDUSD,1,0.284700
2023-06-15,USDCAD,1,0.886900
2023-06-15,XAUUSD,3,0.898967
2023-06-16,EURUSD,7,0.655143
2023-06-16,GBPUSD,2,0.898650
2023-06-16,USDJPY,9,0.356411
2023-06-16,AUDUSD,2,0.846150
2023-06-16,USDCAD,4,0.265125
2023-06-16,XAUUSD,1,0.988500
2023-06-17,EURUSD,0,0.000000
2023-06-17,GBPUSD,0,0.000000
2023-06-17,USDJPY,0,0.000000
2023-06-17,AUDUSD,0,0.000000
2023-06-17,USDCAD,0,0.000000
2023-06-17,XAUUSD,0,0.000000
2023-06-18,EURUSD,0,0.000000
2023-06-18,GBPUSD,0,0.000000
2023-06-18,USDJPY,0,0.000000
2023-06-18,AUDUSD,1,0.983600
2023-06-18,USDCAD,0,0.000000
2023-06-18,XAUUSD,1,0.750600
2023-06-19,EURUSD,5,0.658440
2023-06-19,GBPUSD,4,0.783975
2023-06-19,USDJPY,5,0.663140
2023-06-19,AUDUSD,6,0.153500
2023-06-19,USDCAD,6,-0.282617
2023-06-19,XAUUSD,0,0.000000
2023-06-20,EURUSD,10,-0.172810
2023-06-20,GBPUSD,12,0.231667
2023-06-20,USDJPY,3,0.150233
2023-06-20,AUDUSD,10,0.133470
2023-06-20,USDCAD,8,0.067600
2023-06-20,XAUUSD,0,0.000000
2023-06-21,EURUSD,27,0.292478
2023-06-21,GBPUSD,19,0.270637
2023-06-21,USDJPY,4,0.096775
2023-06-21,AUDUSD,9,0.151033
2023-06-21,USDCAD,9,0.222033
2023-06-21,XAUUSD,1,0.992000
2023-06-22,EURUSD,33,0.211312
2023-06-22,GBPUSD,24,0.151342
2023-06-22,USDJPY,4,0.035525
2023-06-22,AUDUSD,8,0.078738
2023-06-22,USDCAD,7,-0.189686
2023-06-22,XAUUSD,1,0.991500
2023-06-23,EURUSD,34,-0.117815
2023-06-23,GBPUSD,19,0.270705
2023-06-23,USDJPY,6,0.403233
2023-06-23,AUDUSD,9,-0.347978
2023-06-23,USDCAD,8,-0.262162
2023-06-23,XAUUSD,2,0.945550
2023-06-24,EURUSD,1,-0.735100
2023-06-24,GBPUSD,1,0.857900
2023-06-24,USDJPY,0,0.000000
2023-06-24,AUDUSD,0,0.000000
2023-06-24,USDCAD,0,0.000000
2023-06-24,XAUUSD,1,0.994100
2023-06-25,EURUSD,1,-0.153100
2023-06-25,GBPUSD,0,0.000000
2023-06-25,USDJPY,2,-0.841550
2023-06-25,AUDUSD,1,-0.381800
2023-06-25,USDCAD,1,-0.361200
2023-06-25,XAUUSD,0,0.000000
2023-06-26,EURUSD,20,0.171760
2023-06-26,GBPUSD,13,0.012469
2023-06-26,USDJPY,4,0.789975
2023-06-26,AUDUSD,9,-0.256722
2023-06-26,USDCAD,14,-0.015493
2023-06-26,XAUUSD,0,0.000000
2023-06-27,EURUSD,25,0.079472
2023-06-27,GBPUSD,18,0.119822
2023-06-27,USDJPY,10,0.532820
2023-06-27,AUDUSD,13,0.218792
2023-06-27,USDCAD,14,0.059943
2023-06-27,XAUUSD,1,0.996000
2023-06-28,EURUSD,34,0.252662
2023-06-28,GBPUSD,19,0.208047
2023-06-28,USDJPY,12,0.378158
2023-06-28,AUDUSD,20,-0.095970
2023-06-28,USDCAD,10,0.124910
2023-06-28,XAUUSD,2,-0.025200
2023-06-29,EURUSD,29,0.087817
2023-06-29,GBPUSD,14,0.198821
2023-06-29,USDJPY,15,0.223893
2023-06-29,AUDUSD,13,0.180938
2023-06-29,USDCAD,5,0.357160
2023-06-29,XAUUSD,0,0.000000
2023-06-30,EURUSD,29,0.272890
2023-06-30,GBPUSD,18,0.260000
2023-06-30,USDJPY,17,0.357171
2023-06-30,AUDUSD,11,0.337009
2023-06-30,USDCAD,11,0.090464
2023-06-30,XAUUSD,1,0.987500
2023-07-01,EURUSD,5,-0.178760
2023-07-01,GBPUSD,3,-0.145167
2023-07-01,USDJPY,0,0.000000
2023-07-01,AUDUSD,2,-0.136500
2023-07-01,USDCAD,1,-0.153100
2023-07-01,XAUUSD,0,0.000000
2023-07-02,EURUSD,2,0.076550
2023-07-02,GBPUSD,2,0.481400
2023-07-02,USDJPY,0,0.000000
